young_pa,poisson,reference_low_pa,reference_high_pa,model,confidence,note,label_id,tissue,material_id,mechanical_group,mesh_domain,mesh_domain_tag,interface_policy,isotropy_assumption,fiber_stiffness,mass_density_kg_per_m3,em_frequency_hz,conductivity_s_per_m,relative_permittivity,source_keys
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,13,Mucous Membrane,mucous_membrane,ORGAN_SOFT,AIRWAY_WALL,5,protected,reasonable_isotropic_first_approximation,0.0,1102.0,316.0,0.4610075264456888,1981158.4996976736,singh_chanda_2021;piper_adult_2023
43000.0,0.35,3000.0,153000.0,compressible nonlinear-solid approximation,medium,Depends strongly on inflation and strain rate; 43 kPa is a quasi-static compression scale.,14,Trachea,trachea,LUNG_AIRWAY,AIRWAY_WALL,5,protected,reasonable_isotropic_first_approximation,0.0,1080.0,316.0,0.3419866666666667,50316.17995465445,pydi_2023
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,15,Bronchi lumen,bronchi_lumen,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1.16409,316.0,0.0,1.0,
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,16,Air,air,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1.205,316.0,0.0,1.0,
20000.0,0.49,3000.0,100000.0,passive fiber-reinforced Neo-Hookean effective fit,medium,Passive muscle only; no active contraction is represented.,17,Diaphragm,diaphragm,MUSCLE,PASSIVE_MUSCLE,6,protected_at_large_interfaces,anisotropic_in_literature; isotropic_solver_approximation,40000.0,1090.4,316.0,0.4610075264456888,1981158.4996976736,sun_2023;piper_adult_2023;singh_chanda_2021
20000.0,0.49,3000.0,100000.0,passive fiber-reinforced Neo-Hookean effective fit,medium,Passive muscle only; no active contraction is represented.,18,Tongue,tongue,MUSCLE,PASSIVE_MUSCLE,6,protected_at_large_interfaces,anisotropic_in_literature; isotropic_solver_approximation,40000.0,1090.4,316.0,0.4610075264456888,124044.01716729347,sun_2023;piper_adult_2023;singh_chanda_2021
10000000.0,0.3,10000000000.0,80000000000.0,softened isotropic elastic approximation,low,Dental tissues are rigid for the present whole-body morphing purpose.,19,Tooth,tooth,TOOTH,TOOTH,14,protected,reasonable_isotropic_first_approximation,0.0,2180.0,316.0,0.00630199709513435,4291.018033214009,singh_chanda_2021
5000000.0,0.4,100000000.0,1000000000.0,softened fiber-reinforced Neo-Hookean,medium,Solver value is deliberately softened; literature tensile moduli are much higher.,20,Tendon\Ligament,tendon_ligament,TENDON_LIGAMENT,CONNECTIVE_CARTILAGE,18,protected,anisotropic_in_literature; isotropic_solver_approximation,50000000.0,1142.0,316.0,0.3675772277227722,2559543.9836680708,kim_2013;singh_chanda_2021
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,21,Seminal vesicle,seminal_vesicle,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1045.0,316.0,0.5585997222608695,125048.90601597697,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,22,Ductus Deferens,ductus_deferens,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1101.5,316.0,0.2319716049382717,989878.6095836987,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,23,Large Intestine,large_intestine,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1088.0,316.0,0.163535918367347,3722279.852578453,singh_chanda_2021;piper_adult_2023
100.0,0.49,0.0,2000.0,low-shear CSF placeholder,placeholder,Use fluid/poroelastic treatment for brain mechanics.,24,Cerebrospinal Fluid,cerebrospinal_fluid,FLUID_BLOOD,CSF,10,protected,not_a_structural_solid; isotropic_placeholder,0.0,1007.0,316.0,1.878999709695023,108.99999903121135,piper_adult_2023
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,25,Small Intestine Lumen,small_intestine_lumen,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1045.2,316.0,0.4610075264456888,1981158.4996976736,
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,26,Stomach,stomach,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1088.0,316.0,0.163535918367347,122054.34288050572,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,27,Prostate,prostate,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1045.0,316.0,0.5585997222608695,125048.90601597697,singh_chanda_2021;piper_adult_2023
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,28,Esophagus Lumen,esophagus_lumen,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1.16409,316.0,0.0,1.0,
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,29,Small Intestine,small_intestine,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1030.0,316.0,0.163535918367347,449924.8327966194,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,30,Epididymis,epididymis,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1082.0,316.0,0.3660666666666667,125048.90601597697,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,31,Testis,testis,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1082.0,316.0,0.3660666666666667,125048.90601597697,singh_chanda_2021;piper_adult_2023
500.0,0.49,0.0,2000.0,low-shear solid placeholder,placeholder,A fluid/cavity formulation is physically preferable; this value only stabilizes the solid mesh.,32,Bile,bile,FLUID_BLOOD,INTERNAL_FLUID_PLACEHOLDER,9,cavity_or_vessel_wall,not_a_structural_solid; isotropic_placeholder,0.0,928.0,316.0,1.461900144673252,119.99999980772527,piper_adult_2023
5000000.0,0.4,100000000.0,1000000000.0,softened fiber-reinforced Neo-Hookean,medium,Solver value is deliberately softened; literature tensile moduli are much higher.,33,Dura,dura,TENDON_LIGAMENT,CONNECTIVE_CARTILAGE,18,protected,anisotropic_in_literature; isotropic_solver_approximation,50000000.0,1174.0,316.0,0.06,9241.53784590718,kim_2013;singh_chanda_2021
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,34,Gallbladder,gallbladder,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1070.5,316.0,0.3146706388369769,908.7087289664358,singh_chanda_2021;piper_adult_2023
6000.0,0.49,2000.0,20000.0,near-incompressible Neo-Hookean surrogate,medium,Quasi-static healthy-liver effective value; perfusion and viscoelasticity are omitted.,35,Liver,liver,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1078.75,316.0,0.1850383525287677,184491.2514920599,gao_2010;singh_chanda_2021
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,36,Stomach Lumen,stomach_lumen,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1045.2,316.0,0.4610075264456888,1981158.4996976736,
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,37,Esophagus,esophagus,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1040.0,316.0,0.163535918367347,122054.34288050572,singh_chanda_2021;piper_adult_2023
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,38,Large Intestine Lumen,large_intestine_lumen,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1045.2,316.0,0.4610075264456888,1981158.4996976736,
5000.0,0.49,1400.0,148000.0,near-incompressible Neo-Hookean surrogate,low,Published pancreas values vary by orders of magnitude with test scale and condition.,39,Pancreas,pancreas,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1086.5,316.0,0.1449350649350649,122549.18389408203,joshi_2024;singh_chanda_2021
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,40,Penis,penis,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1101.5,316.0,0.2319716049382717,989878.6095836987,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,41,Lymphnode,lymphnode,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1035.0,316.0,0.220522377026335,145.09999799753626,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,42,Adrenal Gland,adrenal_gland,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1027.5,316.0,0.4811,103.2999951137234,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,43,Salivary Gland,salivary_gland,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1048.0,316.0,0.5585997222608695,136.79999728552806,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,44,Spleen,spleen,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1089.0,316.0,0.220522377026335,446872.05822444544,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,45,Thyroid Gland,thyroid_gland,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1050.0,316.0,0.4811,122549.18389408203,singh_chanda_2021;piper_adult_2023
1000.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,46,Brain (Grey Matter),brain_grey_matter,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1044.5,316.0,0.4190548817650446,573176.1234301236,brain_review_2025
100000.0,0.45,10000.0,2000000.0,label-dependent eye-tissue surrogate,low,"Sclera, cornea, lens and vitreous should ultimately use separate models.",47,Eye (Sclera),eye_sclera,EYE,EYE_STRUCTURES,11,protected_for_source_labels,anisotropic_in_literature; isotropic_solver_approximation,250000.0,1032.0,316.0,0.62,89026.43742083298,singh_chanda_2021
100.0,0.45,10000.0,2000000.0,low-shear vitreous placeholder,low,"Sclera, cornea, lens and vitreous should ultimately use separate models.",48,Eye (Vitreous Humor),eye_vitreous_humor,EYE,EYE_STRUCTURES,11,protected_for_source_labels,not_a_structural_solid; isotropic_placeholder,0.0,1004.5,316.0,2.164857,98.99666546273917,singh_chanda_2021
100000.0,0.45,10000.0,2000000.0,label-dependent eye-tissue surrogate,low,"Sclera, cornea, lens and vitreous should ultimately use separate models.",49,Eye (Cornea),eye_cornea,EYE,EYE_STRUCTURES,11,protected_for_source_labels,anisotropic_in_literature; isotropic_solver_approximation,250000.0,1061.645540354,316.0,0.62,141822.3361056804,singh_chanda_2021
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,50,Nerve,nerve,CNS_NERVE,NERVE,12,protected,anisotropic_in_literature; isotropic_solver_approximation,0.0,1075.0,316.0,0.3479543931346832,108975.27931602212,brain_review_2025
100000.0,0.45,10000.0,2000000.0,label-dependent eye-tissue surrogate,low,"Sclera, cornea, lens and vitreous should ultimately use separate models.",51,Eye (Lens),eye_lens,EYE,EYE_STRUCTURES,11,protected_for_source_labels,reasonable_isotropic_first_approximation,250000.0,1075.5,316.0,0.3453333333333333,1117.5008420968768,singh_chanda_2021
20000.0,0.49,3000.0,100000.0,passive fiber-reinforced Neo-Hookean effective fit,medium,Passive muscle only; no active contraction is represented.,52,Muscle,muscle,MUSCLE,PASSIVE_MUSCLE,6,protected_at_large_interfaces,anisotropic_in_literature; isotropic_solver_approximation,40000.0,1090.4,316.0,0.4610075264456888,1981158.4996976736,sun_2023;piper_adult_2023;singh_chanda_2021
500.0,0.49,0.0,2000.0,low-shear solid placeholder,placeholder,A fluid/cavity formulation is physically preferable; this value only stabilizes the solid mesh.,53,Blood,blood,FLUID_BLOOD,INTERNAL_FLUID_PLACEHOLDER,9,cavity_or_vessel_wall,not_a_structural_solid; isotropic_placeholder,0.0,1049.75,316.0,0.6624597361833767,5259.509799864509,piper_adult_2023
500.0,0.49,0.0,2000.0,low-shear solid placeholder,placeholder,A fluid/cavity formulation is physically preferable; this value only stabilizes the solid mesh.,54,Heart Lumen,heart_lumen,FLUID_BLOOD,INTERNAL_FLUID_PLACEHOLDER,9,cavity_or_vessel_wall,not_a_structural_solid; isotropic_placeholder,0.0,1049.75,316.0,0.6624597361833767,5259.509799864509,piper_adult_2023
30000.0,0.49,3000.0,100000.0,passive fiber-reinforced Neo-Hookean effective fit,medium,Passive myocardium surrogate; no active cardiac contraction.,55,Heart Muscle,heart_muscle,MUSCLE,HEART_MUSCLE,7,protected,anisotropic_in_literature; isotropic_solver_approximation,80000.0,1080.8,316.0,0.3853541615486846,708041.2471143564,sun_2023;piper_adult_2023;singh_chanda_2021
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,56,Cerebellum,cerebellum,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1045.0,316.0,0.5766124444444444,573471.1129522359,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,57,Commissura Posterior,commissura_posterior,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1041.0,316.0,0.3479543931346832,263797.07939937734,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,58,Brain (White Matter),brain_white_matter,CNS_NERVE,CNS_PARENCHYMA,13,protected,anisotropic_in_literature; isotropic_solver_approximation,0.0,1041.0,316.0,0.3479543931346832,263797.07939937734,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,59,Hippocampus,hippocampus,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1044.5,316.0,0.4190548817650446,573176.1234301236,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,60,Pons,pons,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1045.5,316.0,0.558392,573471.1129522359,brain_review_2025
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,61,Hypophysis,hypophysis,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1053.0,316.0,1.051624,122549.18389408203,singh_chanda_2021;piper_adult_2023
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,62,Thalamus,thalamus,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1044.5,316.0,0.475,573176.1234301236,brain_review_2025
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,63,Pineal Body,pineal_body,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1053.0,316.0,0.4811,122549.18389408203,singh_chanda_2021;piper_adult_2023
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,64,Medulla Oblongata,medulla_oblongata,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1045.5,316.0,0.357,573471.1129522359,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,65,Midbrain,midbrain,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1045.5,316.0,0.35,573471.1129522359,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,66,Hypothalamus,hypothalamus,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1044.5,316.0,0.4190548817650446,573176.1234301236,brain_review_2025
1500.0,0.49,100.0,10000.0,near-incompressible Neo-Hookean effective fit,medium,White matter and peripheral nerve anisotropy are simplified.,67,Commissura Anterior,commissura_anterior,CNS_NERVE,CNS_PARENCHYMA,13,protected,reasonable_isotropic_first_approximation,0.0,1041.0,316.0,0.3479543931346832,263797.07939937734,brain_review_2025
5000000.0,0.3,44800000.0,1000000000.0,softened isotropic elastic approximation,medium,Reference stiffness depends strongly on apparent density and anatomical site.,68,Bone (Cancellous),bone_cancellous,BONE_CANCELLOUS,CANCELLOUS_BONE,16,protected,reasonable_isotropic_first_approximation,0.0,1178.333333333333,316.0,0.08045952772338552,36324.45747821044,kim_2013
10000000.0,0.3,6000000000.0,20000000000.0,softened isotropic elastic approximation,medium,Bones are normally fixed/rigid in SAT morphing; solver value avoids extreme conditioning.,69,Bone (Cortical),bone_cortical,BONE_CORTICAL,CORTICAL_BONE,15,protected,reasonable_isotropic_first_approximation,0.0,1908.0,316.0,0.00630199709513435,4291.018033214009,piper_adult_2023;singh_chanda_2021
8000.0,0.49,1000.0,50000.0,fat-like Neo-Hookean surrogate,low,Yellow marrow remains label 70 and is never treated as SAT growth.,70,Bone Marrow (Yellow),bone_marrow_yellow,MARROW_YELLOW,YELLOW_MARROW,17,protected,reasonable_isotropic_first_approximation,0.0,980.0,316.0,0.1797899207920792,18462.303949127978,alkhouli_2013;singh_chanda_2021
500000.0,0.45,300000.0,10000000.0,softened fiber-reinforced Neo-Hookean,medium,"Disc, meniscus and articular cartilage are distinct biphasic/fiber tissues.",71,Intervertebral Disc,intervertebral_disc,CARTILAGE_DISC,CONNECTIVE_CARTILAGE,18,protected,anisotropic_in_literature; isotropic_solver_approximation,2000000.0,1099.5,316.0,0.7392595578616339,60.985855932729315,kim_2013;singh_chanda_2021
2000000.0,0.45,300000.0,10000000.0,softened fiber-reinforced Neo-Hookean,medium,"Disc, meniscus and articular cartilage are distinct biphasic/fiber tissues.",72,Meniscus,meniscus,CARTILAGE_DISC,CONNECTIVE_CARTILAGE,18,protected,anisotropic_in_literature; isotropic_solver_approximation,10000000.0,1099.5,316.0,0.7392595578616339,109650.9291883721,kim_2013;singh_chanda_2021
1000000.0,0.45,300000.0,10000000.0,softened fiber-reinforced Neo-Hookean,medium,"Disc, meniscus and articular cartilage are distinct biphasic/fiber tissues.",73,Cartilage,cartilage,CARTILAGE_DISC,CONNECTIVE_CARTILAGE,18,protected,anisotropic_in_literature; isotropic_solver_approximation,2000000.0,1099.5,316.0,0.7392595578616339,109650.9291883721,kim_2013;singh_chanda_2021
